ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000721;BTA 7,2% Fevrier 2027;18000.0;18.0;365.0;9.27
TN0008000721;BTA 7,2% Fevrier 2027;18000.0;18.0;358.0;9.27
TN0008000762;BTA 8% Novembre 2030;15900.0;15.0;90.0;9.24
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9817.0;1.0;22.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9817.0;1.0;8.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9817.0;1.0;15.0;8.99
TN0008000796;BTA 7,5% Janvier 2028;735.0;0.7;33.0;8.74
TNGNCCQYSMR1;BTA 9.9% decembre 2033;2453.0;2.499;61.0;9.12
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;10000.0;1.0;13.0;9.1
TN0008000796;BTA 7,5% Janvier 2028;10500.0;10.0;33.0;8.74
TN0008000796;BTA 7,5% Janvier 2028;5250.0;5.0;33.0;8.74
TN0008000796;BTA 7,5% Janvier 2028;126.0;0.12;33.0;8.74
TN0008000796;BTA 7,5% Janvier 2028;1365.0;1.3;33.0;8.74
TN0008000796;BTA 7,5% Janvier 2028;229.0;0.218;33.0;8.74
TN0008000838;EMP NAT T1 2021 CB;10000.0;1.0;13.0;9.1
TN0008000721;BTA 7,2% Fevrier 2027;4000.0;4.0;13.0;9.1
TN0008000655;BTA 6,6% Mars 2027;997.0;1.0;15.0;8.99
TN0008000622;BTA 6,3% Mars 2026;35151.0;36.2;14.0;8.99
TN0008000812;BTA 7,5% 13/12/2028;530.0;0.499;89.0;8.99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;78636.0;8.0;15.0;8.99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;49147.0;5.0;12.0;8.99
