0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
;N0008000838;;;MP NAT T1 2021 CB;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;
TN0008000895;"EMPRUNT NATIONAL 2021T2 CB";-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN5QHXZ8T348;EMP NAT 2021 T3 CB TV;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNYZO6UGUZ33;EMP NAT 2021 T3 CB TF;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNJ1M1ZAWYG5;EMP NAT 2022 T2 CA TF;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNQCK0BPZ5A4;EMP NAT 2022 T2 CA TV;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000846;EMP NAT T1 2021 CC;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000903;"EMPRUNT NATIONAL 2021T2 CC";-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN3QL5M1QLW6;EMP NAT 2021 T3 CC TF;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNJP2LP1CVE1;EMP NAT 2021 T3 CC TV;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNGVARQJO7Y7;EMP NAT 2023 T4 CA TF;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0OU20VQYS5;EMP NAT 2022 T1 CB TV;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNHG2VXQ3BG0;EMP NAT 2022 T1 CB TF;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNFOOWIRG8H7;EMP NAT 2022 T2 CB TV;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNQVHB5WZ2K2;EMP NAT 2022 T2 CB TF;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNBDWIX8EYF6;EMP NAT 2024 T3 CA TF;1;-;182;-;1,820;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0JN6PVVH38;EMP NAT 2022 T3 CB TV;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNRGVSC8DE36;EMP NAT 2022 T3 CB TF;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN7PM93UZP50;EMP NAT 2022 T4 CB TV;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNWRCVSYL730;EMP NAT 2022 T4 CB TF;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNCGJF5TW027;EMP NAT 2023 T1 CB TF;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
