ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000663;BTA 7,5% Juillet 2032;1150.0;1.2;91.0;9.84
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9828.0;1.0;30.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;8059.0;0.82;21.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;49140.0;5.0;9.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9828.0;1.0;91.0;9.84
TN0008000655;BTA 6,6% Mars 2027;1000.0;1.002;43.0;8.5
TN0008000747;BTA 7,2% Mai 2027;6957.0;7.0;59.0;9.0
TN0008000747;BTA 7,2% Mai 2027;11926.0;12.001;59.0;9.0
TN0008000747;BTA 7,2% Mai 2027;6143.0;6.5;30.0;8.89
TN0008000812;BTA 7,5% 13/12/2028;3315.0;3.427;9.0;7.99
TN0008000812;BTA 7,5% 13/12/2028;587.0;0.607;9.0;7.99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;45000.0;4.5;11.0;9.1
TN0008000812;BTA 7,5% 13/12/2028;423.0;0.437;9.0;7.99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;30000.0;3.0;11.0;9.1
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;7000.0;0.7;11.0;9.1
TN0008000812;BTA 7,5% 13/12/2028;3386.0;3.5;10.0;8.25
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;98279.0;10.0;10.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;39312.0;4.0;9.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;58968.0;6.0;15.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1966.0;0.2;16.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2949.0;0.3;42.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;492.0;0.05;298.0;8.99
TN0008000655;BTA 6,6% Mars 2027;699.0;0.7;10.0;9.0
TN0008000812;BTA 7,5% 13/12/2028;1741.0;1.8;30.0;8.25
TN0008000705;BTA 6,5% Juin 2025;19308.0;20.0;91.0;9.24
TN0008000812;BTA 7,5% 13/12/2028;5382.0;6.5;298.0;8.89
TNGNCCQYSMR1;BTA 9.9% decembre 2033;3930.0;3.999;35.0;8.4
TN0JN6PVVH38;EMP NAT 2022 T3 CB TV;9000.0;0.9;214.0;9.09
