0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
;;Durée;;;Emission;;;Taux Fixe;;;;Taux Variable;;;;;;
;;;;(montant nominal;;Taux plus haut;Taux plus haut;Taux plus bas;Taux plus bas;TMP;TMP;;Taux plus haut;Taux plus haut;Taux plus bas;Taux plus bas;TMP;TMP
;;en MDT);;;;;;;;;;;;;;;;
;De 1 à 30* jours;136,00;9,60;6,50;8,59;;0,00;0,00;0,00;;;;;;;;;
;De 30** à 90* jours;28,50;9,25;8,50;9,05;;0,00;0,00;0,00;;;;;;;;;
;"De 90**  à 180*jours";35,50;9,25;8,50;9,11;;0,00;0,00;0,00;;;;;;;;;
;"De 180** à 360*jours";14,50;9,98;9,00;9,24;;0,00;0,00;0,00;;;;;;;;;
;Au-delà d'1 an;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;;;;;;;;
