ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1 487;1,499;90;9,000
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;23 493;2,500;7;8,000
TN0008000747;BTA 7,2% Mai 2027;7 004;7,000;62;8,750
TN0008000721;BTA 7,2% Fevrier 2027;894;1,000;6;8,250
TN0008000721;BTA 7,2% Fevrier 2027;6 255;7,000;21;8,250
TN0008000721;BTA 7,2% Fevrier 2027;5 361;6,000;20;8,250
TN0008000721;BTA 7,2% Fevrier 2027;5 361;6,000;17;8,250
TN0008000747;BTA 7,2% Mai 2027;57 272;57,239;30;8,750
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;29 690;3,000;24;8,990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3 959;0,400;28;8,990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4 949;0,500;28;8,990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14 845;1,500;31;8,990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4 949;0,500;31;8,990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2 969;0,300;7;8,990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9 897;1,000;90;8,990
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;2 400;0,240;13;9,600
