ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000663;BTA 7,5% Juillet 2032;935;1,000;5;8,500
TN0008000747;BTA 7,2% Mai 2027;3 139;3,159;12;7,250
TNX0K9990B08;EMP NAT 2024 T2 CB TF;14 763;1,500;10;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;49 209;5,000;12;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;101 901;10,354;10;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;78 734;8,000;17;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;11 811;1,200;17;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;8 858;0,900;12;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9 842;1,000;333;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;14 763;1,500;7;8,500
TN0008000762;BTA 8% Novembre 2030;8 172;8,000;17;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4 921;0,500;3;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4 921;0,500;10;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;24 605;2,500;31;8,500
TN0008000812;BTA 7,5% 13/12/2028;911;0,977;10;7,500
